,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL1258076,-2.06169701485,-14.0066646761,2,0,1,1
CHEMBL1258077,-2.40797089866,-14.1732623259,2,0,1,1
CHEMBL1258191,-1.82427953946,-14.1650110548,2,0,1,1
CHEMBL1258192,-0.892853491395,-14.1216413517,2,0,1,1
CHEMBL1258306,-3.14950706487,-14.1173138203,2,0,1,1
CHEMBL1258307,-3.0640933521,-13.9729215072,2,0,1,1
CHEMBL1258418,-3.00159279531,-14.1007810924,2,0,1,1
CHEMBL1258419,-3.18848082054,-14.8853515275,2,0,1,1
CHEMBL1258525,-3.17461194095,-13.8918091557,2,0,1,1
CHEMBL1258526,-3.50912672262,-14.2083933444,2,0,1,1
CHEMBL1258642,-2.96610529875,-14.1068775798,2,0,1,1
CHEMBL125979,-12.3606896271,14.1846123385,3,1,3,2
CHEMBL1269898,4.1140323089,1.54135892609,1,4,1,1
CHEMBL1269899,4.09927970068,1.51664160676,1,4,1,1
CHEMBL1269900,15.4198332501,22.428754054,3,4,1,0
CHEMBL1269901,15.5532686405,21.5279436869,3,4,1,0
CHEMBL1270005,4.10054816047,1.51688842764,1,4,1,1
CHEMBL1270006,4.0993209404,1.5228229792,1,4,1,1
CHEMBL1270007,15.4266403607,21.534580911,3,4,1,0
CHEMBL1270008,15.9641358977,21.9979549226,3,4,1,0
CHEMBL1270114,4.10149921979,1.52575757511,1,4,1,1
CHEMBL1270115,15.9536418591,22.0156568407,3,4,1,0
CHEMBL1270221,4.10302202432,1.5248177057,1,4,1,1
CHEMBL1270222,4.10014950417,1.52306111569,1,4,1,1
CHEMBL1270315,4.11118177605,1.53748848598,1,4,1,1
CHEMBL1270316,15.584963665,21.4733904306,3,4,1,0
CHEMBL1270414,15.5161633281,22.1221669065,3,4,1,0
CHEMBL1270415,15.4265848873,21.5345248706,3,4,1,0
CHEMBL1270508,15.213608008,22.2749210909,3,4,1,0
CHEMBL1270509,15.5217988499,22.2222430498,3,4,1,0
CHEMBL1270609,15.5010448598,22.2274974231,3,4,1,0
CHEMBL1270610,15.5613160229,22.1934317008,3,4,1,0
CHEMBL1270708,15.4785439427,22.2179234684,3,4,1,0
CHEMBL1270709,15.5078678756,22.2344151256,3,4,1,0
CHEMBL1270813,15.1365919773,22.1105412918,3,4,1,0
CHEMBL1270814,15.1365903923,22.1105387141,3,4,1,0
CHEMBL1270916,14.8122441468,22.5510404072,3,4,1,0
CHEMBL1270917,14.9311983988,22.4600300419,3,4,1,0
CHEMBL1271015,15.0033553248,22.4310684326,3,4,1,0
CHEMBL1271016,14.8665992481,22.5062794408,3,4,1,0
CHEMBL1271120,14.8342870868,22.5639271938,3,4,1,0
CHEMBL1271121,14.6480372279,22.6659810016,3,4,1,0
CHEMBL1271223,14.6759349393,22.6368798728,3,4,1,0
CHEMBL1271224,14.6756746427,22.652205668,3,4,1,0
CHEMBL1271325,14.6993426851,22.6340746617,3,4,1,0
CHEMBL1271326,15.4421909245,22.321882048,3,4,1,0
CHEMBL1271432,14.5950551677,22.6851346708,3,4,1,0
CHEMBL1271433,15.3018109718,22.6054219159,3,4,1,0
CHEMBL1271434,15.387683523,22.4512760926,3,4,1,0
CHEMBL1276853,-3.55996998358,-24.2198662128,3,1,3,0
CHEMBL1277025,-3.49917584481,-24.2230544388,3,1,3,0
CHEMBL1277040,-18.3764502198,4.62068531087,4,3,4,4
CHEMBL1277116,-3.47960247084,-24.2292363428,3,1,3,0
CHEMBL1277845,-3.5872161462,-24.2077789198,3,1,3,0
